"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"SEPTIN7P13",8.81485,8.99721,9.19503,9.49915,9.86029,9.47196
"LINC01128",8.75126,8.6165,8.81149,8.32067,8.41445,8.45208
"SAMD11",8.39069,8.52617,8.43338,9.17284,9.10216,9.1412
"KLHL17",8.20228,8.30886,8.18518,8.13322,8.06453,8.15884
"PLEKHN1",8.41004,8.37679,8.27521,8.34524,8.35557,8.44409
"ISG15",7.72204,7.74572,7.78022,7.72308,7.53797,7.73401
"AGRN",9.19237,9.10929,9.03668,9.94821,9.96994,9.99839
"MIR200B",7.50856,7.65041,7.5376,7.37317,7.32562,7.20824
"MIR200A",5.4102,5.49378,5.324,5.25529,5.22608,5.30691
"MIR429",6.6211,6.80314,6.50307,6.93012,6.95385,6.82604
"TTLL10",8.41545,8.59645,8.38563,8.34409,8.12491,8.41778
"B3GALT6",9.41374,9.27174,9.18577,9.1746,9.1296,9.17502
"SCNN1D",7.68546,7.94089,7.52416,7.67786,7.75757,7.74201
"PUSL1",9.76062,9.64717,9.66488,9.59094,9.4325,9.40162
"CPTP",8.76775,8.63747,8.60109,8.83372,8.63596,8.91947
"TAS1R3",7.84576,8.06121,7.83259,7.87675,7.83481,7.89899
"VWA1",8.23373,8.37003,8.29879,8.28701,8.32683,8.43564
"ATAD3A",10.1995,10.2921,10.4946,9.81617,9.67153,9.76731
"MIB2",8.33599,8.49327,8.2541,8.56476,8.45822,8.54395
"CALML6",6.77285,6.39011,6.44929,6.52394,6.3131,6.68744
"GABRD",7.88163,8.12276,7.82987,7.67698,7.68798,7.69438
"PRKCZ",9.07125,9.03953,9.05705,9.22552,9.13884,9.14546
"SKI",10.8396,10.9272,10.8665,10.5284,10.4912,10.5243
"RER1",11.0301,10.9819,10.9469,10.8502,10.8469,10.8556
"PLCH2",7.76488,8.02587,7.70635,7.87063,7.80508,7.89291
"PRXL2B",9.33894,9.35143,9.24548,9.07282,8.9429,8.84603
"ACTRT2",7.39313,7.54438,7.25443,7.28421,7.17076,7.20227
"PRDM16",7.34425,7.4393,7.37418,7.12488,7.24047,7.16704
"ARHGEF16",7.33897,7.44228,7.2724,7.3173,7.10237,7.3797
"TPRG1L",9.61468,9.41543,9.59974,9.85788,9.991,9.98906
"TP73",8.72671,8.68722,8.60379,8.02097,7.87487,7.98221
"CCDC27",7.19485,7.45533,7.21234,7.10395,7.05345,7.19575
"DFFB",8.56481,8.44496,8.62497,8.55102,8.53019,8.60565
"AJAP1",9.5299,9.47591,9.58738,7.7387,7.70725,7.92364
"KCNAB2",9.09255,8.98422,9.05622,9.32944,9.28221,9.31211
"RNF207",8.64477,8.64217,8.72077,8.71468,8.45623,8.49098
"ICMT-DT",7.94017,7.84201,7.77955,7.90259,7.86529,7.85226
"HES3",7.53208,7.67208,7.43481,7.30489,7.16241,7.34429
"ESPN",8.46658,8.78385,8.51278,8.75996,8.62954,8.77765
"TAS1R1",7.05902,7.07197,6.89217,6.84865,7.12066,7.04154
"ZBTB48",7.83125,7.69718,7.81274,7.82707,7.86981,7.89503
"PHF13",8.66228,8.61552,8.6643,8.46445,8.48462,8.45979
"THAP3",8.32081,8.13405,8.31724,8.37834,8.16154,8.37122
"CAMTA1",7.42284,7.38857,7.40258,7.43206,7.2982,7.38742
"VAMP3",11.7802,11.7518,11.7684,11.8971,11.835,11.7784
"PER3",7.83172,7.84778,7.82538,8.49594,8.45826,8.24477
"PARK7",11.992,11.9023,12.0207,11.8957,11.854,11.9984
"SLC45A1",7.58183,7.69916,7.49559,7.51087,7.47705,7.45665
"CA6",6.32398,6.45812,6.3738,6.19045,6.01729,6.28997
"H6PD",9.03449,8.69769,8.83031,10.1346,10.0561,9.97873
"SPSB1",8.66817,8.52464,8.61968,8.90668,8.98,8.96303
"SLC25A33",9.31344,9.19317,9.34975,8.54009,8.7569,8.28062
"TMEM201",9.34322,9.24631,9.3373,8.6253,8.44907,8.6122
"PIK3CD",8.3066,8.42114,8.20143,8.45163,8.32628,8.22678
"NMNAT1",6.90003,6.59458,6.97742,7.39194,7.36553,7.47094
"RBP7",5.62467,5.66159,5.57095,5.64014,5.23469,5.69512
"UBE4B",10.7749,10.7615,10.8254,11.0552,11.0015,11.0208
"KIF1B",9.80392,9.76236,9.85293,10.1467,10.1124,9.95265
"PGD",12.1158,12.1413,12.1971,12.2242,12.2114,12.238
"PEX14",9.09487,9.05534,8.99014,8.87931,8.90879,8.98177
"TARDBP",11.3259,11.0436,11.1738,11.0681,10.949,10.9973
"ANGPTL7",6.38139,6.61545,5.93818,9.46298,9.30843,9.61264
"UBIAD1",10.1389,10.2277,10.105,9.59933,9.67732,9.63434
"DISP3",7.1236,7.26588,6.94111,7.03229,6.84604,7.07568
"FBXO44",8.21321,8.30864,8.11794,8.73905,8.50009,8.7108
"FBXO6",8.07198,7.9378,7.8185,8.52633,8.56588,8.66484
"DRAXIN",8.05007,8.1978,8.00471,7.73345,7.78084,7.96946
"AGTRAP",10.2603,10.0565,10.1035,10.478,10.2427,10.4815
"C1orf167",7.49834,7.64818,7.53602,7.38151,7.28744,7.47217
"RNU5E-1",12.3719,12.451,12.181,12.6502,12.4847,12.685
"PLOD1",11.4394,11.3666,11.4782,11.4689,11.4055,11.5209
"MFN2",11.2187,11.1645,11.1709,10.8728,10.8301,10.7457
"MIIP",8.91699,8.85792,8.84581,8.57077,8.47487,8.61916
"TNFRSF8",8.2313,8.38246,8.25473,8.03469,7.82208,8.21879
"TNFRSF1B",7.79991,7.8253,7.69715,7.39926,6.97159,7.35031
"VPS13D",9.17432,8.94661,9.17177,9.56524,9.5852,9.40742
"AADACL4",5.40322,5.42276,5.42296,5.44515,5.51802,5.42273
"AADACL3",6.182,6.42938,6.08949,6.07356,6.32084,6.34032
"CFAP107",6.10107,6.02942,5.95007,5.91308,5.96163,6.04164
"PRAMEF12",6.88328,6.78949,6.56432,6.39281,6.62738,6.82594
"PRAMEF2",5.57844,6.06588,5.74436,5.90068,5.85764,5.53402
"PDPN",6.56134,6.79411,6.71029,6.49016,6.41393,6.49118
"PRDM2",9.02461,9.04268,9.10312,9.49743,9.46253,9.65996
"KAZN",7.88937,7.96221,7.90724,7.65557,7.73165,7.54164
"TMEM51",7.58143,7.34307,7.71435,8.0783,8.28855,7.93317
"FHAD1",6.67662,6.68672,6.56765,6.62337,6.686,6.73419
"EFHD2",10.1794,10.1422,10.2287,9.66051,9.52228,9.76772
"CTRC",6.97638,7.19277,7.10116,6.84535,6.81696,6.9393
"CELA2A",6.21356,6.31191,6.05375,6.27896,6.00362,5.99168
"CELA2B",6.42264,6.87377,6.58846,6.3779,6.3669,6.47289
"DNAJC16",9.58786,9.64524,9.76745,10.1411,10.1401,10.0522
"PLEKHM2",10.6532,10.6115,10.6113,11.0695,11.0987,11.0653
"SLC25A34",7.66611,7.52174,7.58883,7.8126,7.69893,7.73817
"TMEM82",7.4207,7.63359,7.4045,7.39149,7.1282,7.42168
"FBLIM1",6.42456,6.59381,6.61188,6.87505,6.8673,6.79694
"SPEN",10.4909,10.4811,10.5815,10.0787,10.0867,10.1937
"SRARP",6.81317,6.89324,6.78375,6.60071,6.79319,6.86762
"CLCNKA",6.69324,7.17462,6.86393,6.7828,6.88076,7.19147
"CLCNKB",6.96533,7.21457,6.96533,6.84663,6.91442,7.00323
"SZRD1",11.1489,11.2239,11.2364,11.0094,11.0173,10.9826
"NECAP2",11.2297,11.0576,11.0605,11.331,11.2402,11.3757
"CROCC",7.41022,7.59451,7.51666,7.54636,7.4623,7.54105
"PADI1",6.48015,6.61627,6.49632,6.33319,6.58497,6.50295
"PADI3",7.46126,7.46354,7.29073,7.29071,7.43058,7.41797
"PADI4",6.93414,6.85134,6.56145,6.93548,6.66542,6.77838
"PADI6",6.26537,6.30649,6.23159,5.97042,6.01115,6.30069
"ARHGEF10L",7.70015,7.88128,7.78685,8.02341,8.12882,8.22593
"ACTL8",6.57618,6.95934,6.91604,6.59141,6.5362,6.57219
"IGSF21",7.31453,7.44543,7.35419,7.03746,6.95432,7.173
"KLHDC7A",7.50178,7.81183,7.52649,7.47837,7.35376,7.38535
"PAX7",7.14035,7.13739,7.00639,7.14035,6.81164,7.07854
"MRTO4",10.5736,10.509,10.516,9.11043,9.09668,9.01468
"SLC66A1",8.947,9.00395,8.95435,9.02899,9.07844,9.09565
"RPS14P3",9.27918,9.36815,9.24557,9.37018,9.50714,9.37883
"HTR6",7.23286,7.53678,7.31273,7.0994,7.28,7.15917
"OTUD3",7.90298,7.83792,8.12457,7.65536,7.72188,7.81921
"PLA2G5",6.91872,7.14921,6.91069,6.64567,6.88351,7.04171
"PLA2G2F",7.53519,7.57486,7.5417,7.41054,7.06216,7.55394
"UBXN10",5.92845,6.27831,6.09735,6.19953,6.22143,5.9729
"VWA5B1",6.93208,7.12166,6.93748,6.87427,6.76767,6.82153
"FAM43B",9.03795,9.26334,9.08592,9.06405,9.01522,9.22669
"CDA",6.85727,6.9725,6.98874,7.11316,7.13574,7.39252
"NBPF3",8.61552,8.45577,8.65313,8.98995,8.79546,8.92702
"ALPL",7.24071,7.3527,7.23027,7.22568,7.09947,7.33953
"LDLRAD2",7.55688,7.687,7.36972,7.67952,7.25294,7.37682
"CELA3B",7.94615,8.11638,7.93556,7.94713,7.80707,7.88779
"CELA3A",7.34754,7.60385,7.46839,7.15054,7.28496,7.47285
"LINC00339",8.81203,8.72429,8.68672,9.2712,9.06131,9.22632
"CDC42",9.13735,9.03993,9.2277,8.98604,9.0518,9.10468
"ZBTB40",10.0505,10.0196,10.1311,10.3313,10.3463,10.3307
"EPHA8",7.3639,7.40877,7.31093,7.25693,7.15026,7.20079
"C1QA",6.10235,6.29857,6.10142,5.94808,5.73313,6.10638
"C1QC",7.18102,7.29404,7.18789,6.98275,6.8748,7.19092
"C1QB",6.68469,6.82604,6.71696,6.49241,6.44035,6.43544
"EPHB2",8.89214,8.89113,8.95793,8.61074,8.64909,8.61663
"KDM1A",11.3827,11.2452,11.3568,11.1335,11.149,11.1025
"ZNF436-AS1",7.4789,7.58424,7.52391,7.80476,7.66744,7.77109
"MDS2",7.15623,7.22509,7.14659,6.92488,6.76817,7.09517
"RPL11",12.8065,12.8078,12.7097,12.9113,13.0453,12.8222
"ELOA",11.157,11.2002,11.2196,10.5888,10.5077,10.6829
"PITHD1",9.28224,9.23688,9.3332,9.3479,9.3696,9.45321
"LYPLA2",11.5541,11.5348,11.5484,11.6952,11.6815,11.8653
"PNRC2",12.2103,12.0056,12.1052,12.2237,12.0788,12.1827
"GRHL3",6.80273,7.05307,6.91335,7.01973,6.8565,7.03051
"NIPAL3",10.1651,10.1076,10.2146,10.1843,10.1687,9.99683
"RCAN3",9.70181,9.4822,9.62207,9.71439,9.66735,9.61567
"NCMAP",6.97831,7.26474,6.91556,6.93324,6.66476,6.98877
"SRRM1",11.1723,11.1452,11.2483,10.7838,10.7851,10.7032
"CLIC4",12.1772,12.1451,12.3002,12.5516,12.4817,12.4506
"RHD",6.37008,6.38272,6.29254,6.40454,6.39761,6.19096
"TMEM50A",12.8764,12.8326,12.8307,12.9218,12.9037,12.988
"SDHD",11.6746,11.6574,11.5529,11.8518,11.7594,11.7422
"MACO1",9.60973,9.67681,9.63185,9.62164,9.54535,9.59085
"LDLRAP1",9.88921,9.9971,10.0081,10.4438,10.5941,10.2558
"MAN1C1",7.91506,7.82731,7.76455,7.97009,8.07073,8.07207
"SELENON",11.2188,11.2295,11.2204,11.661,11.5365,11.5467
"MTFR1L",10.4069,10.1899,10.3726,10.8677,10.8759,10.8224
"EXTL1",9.19251,9.07323,9.19301,9.42356,9.16031,9.35566
"PDIK1L",8.18239,7.96165,8.15067,8.04909,7.94485,7.57371
"FAM110D",8.31883,8.41011,8.19135,8.19972,8.27301,8.27775
"ZNF593",9.712,9.60335,9.63177,9.36811,9.32033,9.49358
"CNKSR1",6.97868,7.23074,7.06971,6.79047,6.84252,6.99136
"CATSPER4",5.89609,6.12193,5.92593,5.79397,5.98573,6.0228
"CEP85",9.36951,9.05696,9.38765,8.77506,8.69423,8.65255
"SH3BGRL3",10.0217,9.93578,9.89277,10.0281,9.93299,10.0121
"CD52",7.22874,7.50283,7.33128,7.60866,7.58245,7.69031
"LIN28A",6.52086,6.80819,6.85674,6.39734,6.2016,6.55294
"DHDDS",10.8188,10.6347,10.7662,10.7436,10.7162,10.5253
"HMGN2",13.2231,12.8976,13.3715,12.9258,13.1225,13.1014
"RPS6KA1",10.6369,10.5311,10.526,10.1742,10.0329,10.1019
"ARID1A",11.1607,11.1808,11.1539,11.1334,11.0513,11.1557
"PIGV",9.55804,9.3567,9.60619,10.1882,10.065,10.0016
"ZDHHC18",10.2724,10.1558,10.2314,9.87424,9.5489,9.88865
"SFN",8.26235,8.2723,7.99738,8.10293,7.92861,8.17928
"NUDC",11.1877,11.1127,11.08,10.3663,10.3487,10.6027
"TRNP1",10.2917,10.3147,10.3176,9.85864,9.68737,9.7943
"WDTC1",9.00291,8.93674,8.90797,9.50029,9.47747,9.3921
"TMEM222",10.3112,10.3066,10.2577,9.92856,9.88066,9.99625
"SYTL1",7.22878,7.47639,7.25041,7.47927,7.23353,7.53848
"GPR3",9.7842,10.1542,9.56431,9.01486,9.14794,9.26139
"FAM76A",8.97604,8.73385,9.04944,9.12575,9.06091,8.954
"STX12",9.62813,9.48129,9.61216,9.95357,10.0009,9.79279
"PPP1R8",10.9775,10.9215,10.9853,10.585,10.4797,10.5739
"SCARNA1",6.49772,6.41293,6.40091,7.06677,6.89249,7.3601
"THEMIS2",8.08079,8.19124,8.08897,8.3989,8.23804,8.3542
"SMPDL3B",7.14927,7.38429,7.21375,7.44549,7.49313,7.27198
"XKR8",6.83138,6.91863,6.91513,6.69084,6.60345,6.6823
"ATP5IF1",8.64375,8.50836,8.66927,8.6699,8.77793,8.75704
"SESN2",8.53981,8.53366,8.5441,8.73815,8.75822,8.67122
"MED18",7.6027,7.45855,7.66668,7.4838,7.41295,7.60239
"PHACTR4",11.8695,11.8642,12.0017,12.0293,12.0673,11.9976
"TRNAU1AP",9.43933,9.12292,9.26705,9.4752,9.45533,9.43247
"RAB42",5.13648,5.80699,5.15394,5.17743,4.78637,5.00066
"RNU11",10.2032,10.0052,10.0192,9.90681,9.66252,9.55332
"GMEB1",9.73941,9.58374,9.72848,9.41385,9.34192,9.31584
"YTHDF2",11.0832,11.066,11.0277,10.8041,10.7135,10.6588
"OPRD1",9.06155,9.20477,8.97893,8.78445,8.68208,8.80149
"EPB41",9.64,9.63418,9.55794,9.87312,9.92514,9.62936
"PTPRU",7.80646,7.70552,7.83777,8.32943,8.0928,8.16266
"MATN1-AS1",7.60302,7.55319,7.51836,7.42507,7.23887,7.3476
"ZCCHC17",10.2964,10.2112,10.3502,10.1079,10.1332,10.2702
"SERINC2",11.1908,11.1584,11.0013,10.6923,10.5839,10.8117
"TINAGL1",10.7164,10.5931,10.5565,8.9036,8.70585,8.73239
"HCRTR1",7.48165,7.46268,7.29655,7.24942,7.2439,7.38222
"KHDRBS1",11.6671,11.5916,11.6163,11.4521,11.4036,11.3847
"TMEM39B",9.4256,9.32018,9.24531,9.52477,9.38121,9.63656
"KPNA6",11.8374,11.8045,11.8345,11.7486,11.7718,11.678
"TXLNA",10.7236,10.7008,10.727,10.5987,10.5021,10.561
"CCDC28B",7.84943,7.76355,7.8379,8.37399,8.38636,8.44561
"IQCC",8.63068,8.53564,8.60722,8.44608,8.41403,8.47799
"EIF3I",12.8009,12.7283,12.7629,12.7402,12.7489,12.7743
"FAM167B",7.61085,7.82068,7.5134,8.34818,8.48625,8.88673
"LCK",7.25298,7.56602,7.38945,7.28492,7.07454,7.31986
"HDAC1",12.2568,12.0635,12.1396,12.2444,12.251,12.2451
"TSSK3",7.36974,7.38762,7.44487,7.89879,7.5834,7.64554
"RBBP4",12.8399,12.6784,12.7255,12.5919,12.5468,12.491
"KIAA1522",8.30964,8.26799,8.20554,8.56256,8.41651,8.67185
"S100PBP",9.69928,9.46281,9.74508,9.73938,9.68293,9.43968
"HPCA",7.45828,7.62439,7.50656,7.33049,7.19209,7.33216
"AZIN2",8.28967,8.40055,8.42476,9.42171,9.6469,9.57572
"ZNF362",9.96468,9.94497,9.87689,10.3994,10.2942,10.3758
"ZSCAN20",7.8498,7.83937,7.93785,8.36919,8.24811,8.26268
"HMGB4",5.36956,5.6053,5.46848,5.23949,5.32969,5.46007
"C1orf94",6.41997,6.50558,6.08961,5.87544,6.25264,6.20118
"GJB5",7.08065,7.31618,7.02641,6.84357,6.95283,6.72208
"GJB4",7.25696,7.20054,7.06049,6.89606,6.74824,7.07774
"GJB3",7.501,7.45997,7.49291,6.96292,6.67361,7.0036
"GJA4",7.82671,8.10572,7.89193,7.71009,7.71981,7.85068
"ZMYM1",9.44946,9.08571,9.38467,8.83454,8.88393,8.5093
"ZMYM4",11.3215,11.1788,11.4007,11.5208,11.4588,11.505
"NCDN",10.7882,10.8031,10.6924,10.765,10.7188,10.9592
"TFAP2E",8.79714,8.98945,8.75884,8.75213,8.59059,8.73374
"AGO4",8.29175,8.06855,8.24553,8.99361,9.05016,8.93955
"AGO3",10.1645,10.1283,10.2431,10.3608,10.3453,10.2555
"TEKT2",6.8359,6.80498,6.8805,6.76617,6.61107,6.58317
"ADPRS",9.13172,9.14724,9.15656,8.79958,8.70086,8.66123
"MAP7D1",9.91346,9.93433,9.84792,9.61957,9.68227,9.812
"THRAP3",11.3525,11.3052,11.348,11.1418,11.1574,11.0477
"SH3D21",8.04036,7.94708,8.04304,8.2761,8.11157,8.24608
"ZC3H12A",8.51466,8.56142,8.46101,8.52123,8.46112,8.52484
"DNALI1",7.28666,7.35236,7.31731,7.28069,7.1316,7.19458
"CDCA8",10.8341,10.7523,10.7391,9.70087,9.52353,9.43728
"MANEAL",9.66179,9.59115,9.70342,9.45622,9.18915,9.3169
"C1orf122",9.55609,9.68099,9.55668,9.64295,9.55781,9.7533
"UTP11",11.4779,11.3449,11.3921,10.7688,10.7818,10.6444
"AKIRIN1",10.6546,10.7636,10.7783,10.5288,10.5498,10.5563
"NDUFS5",12.8124,12.7532,12.8442,12.9793,12.9048,12.9018
"MACF1",10.2091,10.1562,10.2571,9.91475,9.83568,9.761
"BMP8A",7.23234,7.29081,7.1849,7.09641,6.95255,7.08532
"PPIE",9.67209,9.59195,9.57434,9.55026,9.34284,9.49978
"MFSD2A",9.86335,9.90788,9.93251,8.83532,8.86911,8.87442
"CAP1",12.9761,12.9049,12.9404,12.842,12.8613,12.9622
"RLF",10.5139,10.2707,10.5107,10.1929,10.2443,10.1498
"TMCO2",5.48606,5.891,5.52624,5.72033,5.50854,5.81283
"ZMPSTE24",12.1758,12.0305,12.159,11.8347,11.8765,11.9953
"SMAP2",10.654,10.6376,10.7591,10.6034,10.4353,10.4675
"ZFP69B",9.15589,9.02579,9.07762,8.87717,8.88039,8.57086
"ZFP69",8.41063,8.23408,8.49664,8.36395,8.2444,8.38202
"EXO5",9.16561,8.66011,9.01931,8.77979,8.7103,8.64071
"ZNF684",7.0176,6.82732,7.09554,6.53566,6.51845,6.71594
"NFYC",10.5131,10.4303,10.539,10.5903,10.5022,10.6011
"MIR30E",6.93692,7.13137,7.41041,7.53323,7.64534,7.34137
"MIR30C1",5.2901,5.318,5.21945,5.18347,5.26141,5.18765
"KCNQ4",7.24414,7.27652,7.2447,7.20919,7.15614,7.24293
"CTPS1",11.1307,10.9101,11.1133,9.6592,9.56153,9.54383
"GUCA2B",7.95223,8.08716,7.80476,7.84559,7.76397,7.86976
"RIMKLA",7.82718,7.89052,7.79778,7.59268,7.62448,7.673
"PPCS",9.04628,8.71715,8.94898,9.44323,9.44869,9.48843
"CCDC30",4.64997,4.62032,4.72878,5.13751,5.4174,5.18352
"PPIH",10.8619,10.7337,10.8982,10.0918,10.1007,10.4157
"YBX1",13.4052,13.4031,13.3485,13.3993,13.4403,13.4644
"C1orf50",8.38417,8.21443,8.30395,8.66532,8.53754,8.71023
"TMEM269",6.5781,6.6859,6.48663,6.99356,6.7984,6.65443
"ERMAP",7.76658,7.76018,7.72808,8.94008,8.83267,8.67856
"ZNF691",8.69899,8.57057,8.55523,8.71663,8.63201,8.60631
"FAM183A",6.34973,6.68272,6.62561,6.56948,6.37161,6.70742
"CFAP57",6.47965,6.30503,6.36347,6.48074,6.5167,6.4473
"TMEM125",7.80335,7.87371,7.8335,7.58169,7.55866,7.86893
"TIE1",6.76038,6.88373,6.79762,6.66256,6.67371,6.46727
"MPL",7.07406,7.22448,7.04617,7.16099,7.09564,7.07794
"CDC20",12.6943,12.6354,12.6113,12.0382,11.9186,11.7941
"SZT2",8.56752,8.56652,8.65753,9.04633,9.11294,8.94384
"PTPRF",10.9271,10.89,10.8772,10.4745,10.2917,10.2563
"KDM4A",9.68176,9.41499,9.73024,10.0838,10.0586,10.2469
"ST3GAL3",8.71578,8.69077,8.60388,9.19452,9.25935,9.16885
"ARTN",7.37359,7.6007,7.39663,7.45579,7.32829,7.35148
"IPO13",9.82304,9.69495,9.83686,10.0305,9.9065,10.2325
"DPH2",10.3793,10.3496,10.3149,9.61633,9.61028,9.42388
"ATP6V0B",10.7912,10.7279,10.7186,10.4524,10.4731,10.627
"B4GALT2",10.8132,10.7254,10.7344,10.3534,10.1569,10.3809
"CCDC24",8.04453,8.14618,7.91579,8.56336,8.40884,8.54578
"KLF17",6.73611,6.7654,6.58796,6.55645,6.49624,6.58727
"DMAP1",9.89176,9.92922,9.90868,10.2241,10.2494,10.0871
"RNF220",10.219,10.1957,10.2181,10.1227,10.1084,10.162
"ARMH1",7.09577,6.99971,6.95231,6.97947,6.97486,7.14385
"KIF2C",10.576,10.3471,10.4902,9.38436,9.30443,9.15804
"RPS8",12.479,12.5122,12.5509,12.6319,12.6714,12.5879
"SNORD55",8.367,8.26067,8.31247,8.11135,7.90976,8.12104
"SNORD46",10.4433,10.4743,10.242,10.6903,10.4795,11.0752
"SNORD38A",7.39988,7.29857,7.3671,7.1554,7.2946,7.15213
"SNORD38B",7.79454,7.58288,8.12512,7.46977,7.40946,7.69029
"PLK3",8.62221,8.47,8.55936,7.58445,7.59935,7.48361
"UROD",11.0412,10.9717,10.9911,11.161,11.0717,11.1726
"HPDL",7.83159,7.66839,7.65571,7.12655,6.77587,7.25235
"TOE1",11.2151,11.132,11.1263,10.4638,10.2996,10.5013
"MMACHC",9.69504,9.63593,9.64839,9.72952,9.63285,9.78906
"AKR1A1",10.2198,10.0772,10.2279,10.453,10.3236,10.4241
"NASP",9.53052,9.36996,9.39156,8.62769,8.58903,8.71004
"TMEM69",11.1852,11.0985,11.1733,11.3504,11.3945,11.3725
"MAST2",10.1001,10.0385,10.0845,9.80013,9.71607,9.85576
"TSPAN1",6.42476,6.43622,6.25936,6.58931,6.59966,6.63618
"LURAP1",7.8513,7.77031,7.79934,8.17536,8.22532,8.34674
"RAD54L",8.89146,8.64686,9.05232,7.01559,6.98317,6.80835
"UQCRH",8.64841,8.54453,8.55247,8.48114,8.49686,8.29988
"NSUN4",10.4451,10.3496,10.5726,10.5069,10.508,10.3918
"FAAH",7.03039,7.06603,7.01568,6.79533,7.03023,7.04648
"DMBX1",8.0341,8.35571,7.96663,7.96147,8.01194,8.02306
"TEX38",6.36879,6.75892,6.4078,6.3906,6.09166,6.28426
"CYP4B1",6.58277,6.85814,6.74259,6.46482,6.53365,6.62317
"CYP4X1",7.44564,7.1523,7.29621,7.99344,7.83114,7.62297
"CYP4Z1",5.82861,6.24565,6.23435,6.20013,5.96314,5.95651
"CYP4A22",6.1111,6.41675,6.21666,6.33875,6.33823,6.21647
"CMPK1",11.6054,11.4861,11.7006,11.3507,11.3754,11.5188
"FOXE3",8.77875,8.93096,8.71757,8.71677,8.7293,8.82996
"FOXD2",8.32081,8.28413,8.0086,7.81798,7.6448,7.83255
"SLC5A9",6.40254,6.45488,6.34991,6.2848,5.91101,6.25788
"STRADB",10.9354,10.8833,11.0806,10.9605,10.9493,10.9752
"ELAVL4",5.25889,5.20662,5.30569,5.19754,5.27788,5.42014
"CDKN2C",8.03611,7.96922,7.82347,8.35323,8.12049,8.13259
"RNF11",9.1803,9.17184,9.14915,9.20501,9.20635,9.1807
"OSBPL9",11.8015,11.826,11.8899,12.2456,12.3059,12.0094
"BTF3L4",11.8166,11.7297,11.7243,11.5504,11.5849,11.2134
"ZFYVE9",8.54908,8.23947,8.56952,8.55892,8.60036,8.46966
"PLA2G12AP1",9.22587,9.1541,8.99313,9.53625,9.32749,9.56412
"PRPF38A",12.4718,12.4522,12.5978,12.202,12.1929,12.1743
"GPX7",8.90489,8.6322,8.74496,9.42363,9.19055,9.46239
"SHISAL2A",6.47517,6.65272,6.31878,6.42009,6.43492,6.42625
"ZYG11B",10.4808,10.3237,10.5168,10.745,10.6598,10.3896
"ZYG11A",5.76104,5.89974,6.00656,5.56078,5.63465,5.56169
"SCP2",9.84346,9.78337,9.95471,10.5615,10.6116,10.4654
"PODN",7.16528,7.32615,7.12433,7.01465,6.99656,7.23526
"CPT2",8.9599,8.95216,9.04323,9.44358,9.39358,9.41124
"DMRTB1",8.03001,8.10292,7.91638,7.97228,7.74354,8.05972
"DIO1",5.71364,5.65213,5.88904,5.63921,5.39228,5.61443
"LRRC42",10.1392,10.0754,10.2139,9.87473,9.81364,9.84913
"TCEANC2",9.47998,9.28442,9.51376,9.50286,9.50429,9.31958
"MRPL37",12.3398,12.3227,12.3697,12.2083,12.16,12.234
"SSBP3-AS1",7.21807,7.29421,7.11733,7.0553,7.08537,7.13221
"ACOT11",7.45594,7.36506,7.50522,7.46289,7.35854,7.59415
"LEXM",5.83208,5.88185,5.66501,5.74738,5.52914,5.67072
"TMEM61",7.47435,7.71681,7.37942,7.23527,7.17069,7.28521
"BSND",6.39099,6.75493,6.67778,6.18929,6.31322,6.35873
"PCSK9",7.77522,7.90644,7.72985,7.65416,7.43714,7.78136
"PRKAA2",9.31869,9.05949,9.31391,9.37908,9.44769,9.21133
"C8A",5.32039,5.39283,5.34916,5.19668,5.27462,5.18082
"FGGY",7.4756,7.23992,7.32138,8.48911,8.68744,8.70416
"HOOK1",4.00586,4.21046,3.97419,3.97621,3.94944,4.01807
"NFIA",8.36132,8.39505,8.39301,8.56896,8.53711,8.41617
"MGC34796",7.28023,7.35245,7.24433,7.21059,7.01275,7.42377
"PATJ",7.69615,7.53487,7.57456,8.52726,8.55314,8.31868
"LAMTOR5P1",7.85968,7.94234,8.19592,7.73814,7.752,7.73885
"L1TD1",4.06673,4.10506,4.08447,4.11874,4.0812,4.29459
"USP1",10.0673,9.90862,10.0284,8.88082,8.92461,8.79273
"ANGPTL3",4.06638,4.02363,3.99463,4.0645,4.18652,3.90193
"ATG4C",10.3078,10.0233,10.3076,10.1257,10.2452,10.2916
"FOXD3",8.89331,8.81809,8.67072,10.0656,9.81431,9.9429
"ALG6",8.18978,7.86846,8.25359,8.44443,8.517,8.2533
"EFCAB7",8.44539,8.29222,8.48376,8.88277,8.96194,8.82306
"DLEU2L",3.88007,4.30567,4.10705,4.17885,4.32396,3.89094
"PGM1",10.9323,10.8419,10.976,11.0284,11.0032,10.8034
"ROR1",9.54249,9.30075,9.57956,7.50631,7.54114,7.58666
"UBE2U",3.604,3.60858,3.7317,3.56062,3.62039,3.71782
"CACHD1",8.44383,8.43673,8.5441,8.42637,8.42989,8.43721
"RAVER2",10.0127,9.76024,9.93135,9.99655,9.92342,9.7281
"DNAJC6",9.17912,9.06702,9.12149,9.53402,9.56617,9.56648
"PDE4B",8.23758,8.15197,8.07486,9.28835,9.1649,9.03185
"SGIP1",5.71562,5.7973,5.7309,5.48037,5.51613,5.68735
"DYNLT5",5.84395,5.91407,5.84789,5.68082,5.29757,5.91832
