"","GSM1052615","GSM1052616","GSM1052617","GSM1052618","GSM1052619","GSM1052620"
"DUSP13",7.73629,7.77049,7.64177,7.62986,7.53714,7.59656
"COMTD1",8.72126,8.92024,8.69999,8.46956,8.68347,8.77806
"ZNF503",8.39246,8.2673,8.2533,9.16938,8.82959,9.28773
"KCNMA1",8.14104,7.95214,8.09678,7.66809,7.85467,7.65617
"DLG5",9.5608,9.58658,9.55744,9.44746,9.44832,9.36448
"POLR3A",10.1391,9.96192,10.2092,9.76023,9.7502,9.64818
"ZCCHC24",10.1162,10.0295,9.91836,9.87535,9.53909,9.81001
"SFTPD",7.85681,7.7827,7.67439,7.74825,7.63095,7.58258
"ANXA11",11.7191,11.6762,11.6126,11.523,11.4368,11.4764
"MAT1A",6.55833,6.66858,6.4975,6.39748,6.37027,6.71107
"DYDC1",4.79925,4.88312,4.96668,4.76759,4.69728,4.72673
"LRIT2",5.50419,5.7188,5.86039,5.57771,5.73222,5.7188
"LRIT1",6.55686,6.4575,6.61639,6.20952,6.15347,6.61763
"GRID1",7.29705,7.35395,7.16098,7.02078,7.01404,7.13273
"WAPL",10.368,10.2234,10.3052,10.0488,10.037,10.0769
"MMRN2",7.10642,7.17475,6.94664,6.95826,6.96895,6.99519
"ATAD1",10.6317,10.5712,10.6086,10.5441,10.7024,10.5026
"RNLS",6.69102,7.02259,6.9829,6.97388,7.20857,7.31022
"ANKRD22",4.63596,4.84621,4.801,4.65773,4.88703,4.71932
"ACTA2",8.10701,8.01152,8.24891,9.50104,9.42731,9.64803
"CH25H",6.33337,6.76313,6.49221,6.44738,6.14037,6.40712
"SLC16A12",5.0739,5.32965,5.20478,5.31648,5.26404,5.40997
"PANK1",8.62407,8.35192,8.75074,8.77338,8.72488,8.81968
"MIR107",7.2074,7.36892,7.29343,7.10428,7.37004,7.18328
"FLJ37201",6.42695,6.21057,6.52543,6.86045,6.42819,6.41642
"HTR7",8.29419,8.13685,8.29284,8.15151,8.02827,7.91341
"ANKRD1",9.43178,9.33872,9.4119,7.60942,7.52328,7.10497
"NUDT9P1",5.63864,5.42315,5.72647,7.52768,7.72154,6.97313
"PPP1R3C",5.73561,5.75916,5.72765,5.55303,5.5887,5.72893
"SRP9",12.4265,12.2964,12.4007,12.2694,12.2897,12.2515
"FGFBP3",7.71058,7.8443,7.61267,7.76241,7.69938,7.73273
"CPEB3",6.42724,6.39366,6.43799,6.95702,7.17172,7.08676
"IDE",11.5044,11.5276,11.7005,11.5314,11.4516,11.4162
"MYOF",12.4661,12.4117,12.4371,12.3337,12.2564,12.1104
"RBP4",7.3751,7.13455,7.33547,8.5409,8.12971,8.80738
"FRA10AC1",7.68071,7.25726,7.66233,7.73238,7.82596,7.70695
"PIPSL",6.20042,6.05396,6.12434,5.86556,6.12253,6.0695
"NOC3L",10.7288,10.5239,10.7701,9.4859,9.59201,9.25882
"CYP2C8",4.52866,4.48734,4.55043,4.3999,4.73678,4.64457
"PDLIM1",11.1394,11.1284,10.992,12.1602,12.0254,12.0403
"SORBS1",8.67896,8.55586,8.76165,9.96837,9.97909,9.98292
"ALDH18A1",11.0653,10.8966,11.0443,10.9127,10.8395,10.7675
"TCTN3",11.1272,11.049,11.1643,11.2672,11.1918,11.0855
"BLNK",6.58309,6.82207,6.72332,6.69341,6.48932,6.92705
"OPALIN",5.97909,6.15575,5.99137,5.95211,5.86153,5.95937
"TLL2",6.57245,6.5531,6.69019,7.04162,7.00542,7.05341
"TM9SF3",12.7367,12.6115,12.668,12.5515,12.5296,12.3211
"PIK3AP1",7.55973,7.76028,7.49911,7.50149,7.35538,7.20077
"ARHGAP19-SLIT1",5.20802,5.48044,5.47138,5.32669,5.1943,5.33491
"FRAT2",8.37391,8.40507,8.24322,8.21347,8.2868,8.12181
"RRP12",10.5309,10.4382,10.4981,9.63423,9.54032,9.65376
"EXOSC1",11.8129,11.6858,11.7412,11.7811,11.7083,11.7042
"MMS19",10.3443,10.2213,10.3328,10.3886,10.3808,10.3046
"MORN4",7.75661,7.61755,8.02318,8.46351,8.27901,8.26485
"AVPI1",11.488,11.5078,11.3908,11.7799,11.8043,11.4713
"SFRP5",7.8906,8.07799,7.89486,7.93725,7.69179,8.09538
"CRTAC1",6.67559,6.9377,6.73356,6.53416,6.55854,6.85112
"LOXL4",10.432,10.5006,10.415,9.75872,9.66352,9.50394
"HPS1",8.53861,8.56993,8.49119,8.99087,8.97067,8.97146
"HPSE2",6.0772,6.16884,6.09326,5.98352,5.83843,5.94485
"GOT1",11.7186,11.6797,11.7096,11.1425,11.1349,11.1045
"SLC25A28",9.06696,9.02792,9.11693,8.5144,8.50956,8.66129
